measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),160,Afghanistan,3,Both,22,All Ages,487,Leukemia,1,Number,2016,99058.64446,149233.7138,69497.82668
2,DALYs (Disability-Adjusted Life Years),160,Afghanistan,3,Both,22,All Ages,429,Breast cancer,1,Number,2016,48075.35815,113032.8346,19293.35156
2,DALYs (Disability-Adjusted Life Years),160,Afghanistan,3,Both,22,All Ages,456,Pancreatic cancer,1,Number,2016,7158.423072,10430.6789,4860.047468
2,DALYs (Disability-Adjusted Life Years),160,Afghanistan,3,Both,22,All Ages,459,Malignant skin melanoma,1,Number,2016,2314.49444,5803.02629,899.7735574
2,DALYs (Disability-Adjusted Life Years),160,Afghanistan,3,Both,22,All Ages,471,Kidney cancer,1,Number,2016,6092.716361,10693.83101,3484.410146
2,DALYs (Disability-Adjusted Life Years),160,Afghanistan,3,Both,22,All Ages,474,Bladder cancer,1,Number,2016,6884.38683,9250.006543,5407.097585
2,DALYs (Disability-Adjusted Life Years),160,Afghanistan,3,Both,22,All Ages,480,Thyroid cancer,1,Number,2016,3235.549758,4748.697406,1789.37949
2,DALYs (Disability-Adjusted Life Years),160,Afghanistan,3,Both,22,All Ages,974,Diabetes and kidney diseases,1,Number,2016,470766.9631,558604.4512,397204.8407
2,DALYs (Disability-Adjusted Life Years),160,Afghanistan,3,Both,22,All Ages,544,Parkinson's disease,1,Number,2016,8819.509033,11458.61203,7190.670057
2,DALYs (Disability-Adjusted Life Years),160,Afghanistan,3,Both,22,All Ages,417,Liver cancer,1,Number,2016,18075.3422,29587.47017,7472.932539
2,DALYs (Disability-Adjusted Life Years),43,Albania,3,Both,22,All Ages,974,Diabetes and kidney diseases,1,Number,2016,25483.45258,31183.8565,20416.20781
2,DALYs (Disability-Adjusted Life Years),43,Albania,3,Both,22,All Ages,487,Leukemia,1,Number,2016,4793.770991,6184.927536,3886.142403
2,DALYs (Disability-Adjusted Life Years),43,Albania,3,Both,22,All Ages,544,Parkinson's disease,1,Number,2016,3618.59709,5536.064895,2937.695118
2,DALYs (Disability-Adjusted Life Years),43,Albania,3,Both,22,All Ages,429,Breast cancer,1,Number,2016,6721.553546,8762.910874,4834.601706
2,DALYs (Disability-Adjusted Life Years),43,Albania,3,Both,22,All Ages,456,Pancreatic cancer,1,Number,2016,4991.930965,6003.112938,4094.226254
2,DALYs (Disability-Adjusted Life Years),43,Albania,3,Both,22,All Ages,459,Malignant skin melanoma,1,Number,2016,647.8617079,1125.552138,436.3965778
2,DALYs (Disability-Adjusted Life Years),43,Albania,3,Both,22,All Ages,471,Kidney cancer,1,Number,2016,1896.505022,2389.368143,1529.933891
2,DALYs (Disability-Adjusted Life Years),43,Albania,3,Both,22,All Ages,474,Bladder cancer,1,Number,2016,787.0872206,1021.023952,630.0484858
2,DALYs (Disability-Adjusted Life Years),43,Albania,3,Both,22,All Ages,480,Thyroid cancer,1,Number,2016,440.3510006,537.4329635,352.2834558
2,DALYs (Disability-Adjusted Life Years),43,Albania,3,Both,22,All Ages,417,Liver cancer,1,Number,2016,6555.730139,8346.771303,5279.958192
2,DALYs (Disability-Adjusted Life Years),139,Algeria,3,Both,22,All Ages,417,Liver cancer,1,Number,2016,15708.18839,19310.19615,12931.5834
2,DALYs (Disability-Adjusted Life Years),139,Algeria,3,Both,22,All Ages,429,Breast cancer,1,Number,2016,74608.0346,83895.53217,64438.565
2,DALYs (Disability-Adjusted Life Years),139,Algeria,3,Both,22,All Ages,544,Parkinson's disease,1,Number,2016,18812.57016,22535.73741,16276.30365
2,DALYs (Disability-Adjusted Life Years),139,Algeria,3,Both,22,All Ages,487,Leukemia,1,Number,2016,48007.098,55064.2579,37801.81503
2,DALYs (Disability-Adjusted Life Years),139,Algeria,3,Both,22,All Ages,456,Pancreatic cancer,1,Number,2016,19997.67442,21843.5223,17953.43777
2,DALYs (Disability-Adjusted Life Years),139,Algeria,3,Both,22,All Ages,459,Malignant skin melanoma,1,Number,2016,2571.341294,3095.552896,1759.451233
2,DALYs (Disability-Adjusted Life Years),139,Algeria,3,Both,22,All Ages,471,Kidney cancer,1,Number,2016,6108.680872,6981.748804,4981.523313
2,DALYs (Disability-Adjusted Life Years),139,Algeria,3,Both,22,All Ages,474,Bladder cancer,1,Number,2016,10601.66158,11997.77089,9249.42341
2,DALYs (Disability-Adjusted Life Years),139,Algeria,3,Both,22,All Ages,480,Thyroid cancer,1,Number,2016,6549.616504,7534.740978,5648.973246
2,DALYs (Disability-Adjusted Life Years),139,Algeria,3,Both,22,All Ages,974,Diabetes and kidney diseases,1,Number,2016,474264.4016,571867.6613,389720.359
2,DALYs (Disability-Adjusted Life Years),298,American Samoa,3,Both,22,All Ages,480,Thyroid cancer,1,Number,2016,8.841875062,10.2382249,7.71365735
2,DALYs (Disability-Adjusted Life Years),298,American Samoa,3,Both,22,All Ages,487,Leukemia,1,Number,2016,49.0331317,60.00773231,42.80679378
2,DALYs (Disability-Adjusted Life Years),298,American Samoa,3,Both,22,All Ages,974,Diabetes and kidney diseases,1,Number,2016,2330.252669,2689.535911,2012.735676
2,DALYs (Disability-Adjusted Life Years),298,American Samoa,3,Both,22,All Ages,471,Kidney cancer,1,Number,2016,11.44819706,13.46168175,9.903251716
2,DALYs (Disability-Adjusted Life Years),298,American Samoa,3,Both,22,All Ages,474,Bladder cancer,1,Number,2016,20.44271761,23.38947786,17.08372258
2,DALYs (Disability-Adjusted Life Years),298,American Samoa,3,Both,22,All Ages,544,Parkinson's disease,1,Number,2016,26.7165188,30.69659973,23.66156801
2,DALYs (Disability-Adjusted Life Years),298,American Samoa,3,Both,22,All Ages,417,Liver cancer,1,Number,2016,123.7690291,141.3358854,107.5968632
2,DALYs (Disability-Adjusted Life Years),298,American Samoa,3,Both,22,All Ages,429,Breast cancer,1,Number,2016,196.9437696,225.2447271,169.2752745
2,DALYs (Disability-Adjusted Life Years),298,American Samoa,3,Both,22,All Ages,456,Pancreatic cancer,1,Number,2016,54.16669914,61.31014944,47.09820729
2,DALYs (Disability-Adjusted Life Years),298,American Samoa,3,Both,22,All Ages,459,Malignant skin melanoma,1,Number,2016,9.422663155,11.86722525,6.661887573
2,DALYs (Disability-Adjusted Life Years),74,Andorra,3,Both,22,All Ages,544,Parkinson's disease,1,Number,2016,89.18776866,104.5163084,76.34331793
2,DALYs (Disability-Adjusted Life Years),74,Andorra,3,Both,22,All Ages,417,Liver cancer,1,Number,2016,72.57137464,95.75354552,45.89747135
2,DALYs (Disability-Adjusted Life Years),74,Andorra,3,Both,22,All Ages,429,Breast cancer,1,Number,2016,331.948561,445.4538929,238.4251613
2,DALYs (Disability-Adjusted Life Years),74,Andorra,3,Both,22,All Ages,456,Pancreatic cancer,1,Number,2016,196.0522111,238.3316943,151.1678559
2,DALYs (Disability-Adjusted Life Years),74,Andorra,3,Both,22,All Ages,459,Malignant skin melanoma,1,Number,2016,69.04724115,86.70206904,42.67995387
2,DALYs (Disability-Adjusted Life Years),74,Andorra,3,Both,22,All Ages,471,Kidney cancer,1,Number,2016,73.00284602,93.35244752,49.04674304
2,DALYs (Disability-Adjusted Life Years),74,Andorra,3,Both,22,All Ages,474,Bladder cancer,1,Number,2016,100.8699454,119.8033618,77.94211519
2,DALYs (Disability-Adjusted Life Years),74,Andorra,3,Both,22,All Ages,480,Thyroid cancer,1,Number,2016,11.17113691,14.70668163,8.659527503
2,DALYs (Disability-Adjusted Life Years),74,Andorra,3,Both,22,All Ages,487,Leukemia,1,Number,2016,148.407645,178.0535667,118.9079081
2,DALYs (Disability-Adjusted Life Years),74,Andorra,3,Both,22,All Ages,974,Diabetes and kidney diseases,1,Number,2016,655.4753276,841.1591922,492.7936061
2,DALYs (Disability-Adjusted Life Years),168,Angola,3,Both,22,All Ages,544,Parkinson's disease,1,Number,2016,4679.429986,5853.990052,3881.082107
2,DALYs (Disability-Adjusted Life Years),168,Angola,3,Both,22,All Ages,429,Breast cancer,1,Number,2016,34458.39879,47544.5759,25201.78644
2,DALYs (Disability-Adjusted Life Years),168,Angola,3,Both,22,All Ages,456,Pancreatic cancer,1,Number,2016,10212.98399,12642.47573,8352.469161
2,DALYs (Disability-Adjusted Life Years),168,Angola,3,Both,22,All Ages,459,Malignant skin melanoma,1,Number,2016,2287.018547,3223.777212,1771.075811
2,DALYs (Disability-Adjusted Life Years),168,Angola,3,Both,22,All Ages,471,Kidney cancer,1,Number,2016,5974.804504,8490.920343,4300.345996
2,DALYs (Disability-Adjusted Life Years),168,Angola,3,Both,22,All Ages,474,Bladder cancer,1,Number,2016,5877.909995,9477.619729,4217.280729
2,DALYs (Disability-Adjusted Life Years),168,Angola,3,Both,22,All Ages,480,Thyroid cancer,1,Number,2016,1301.44138,1771.229183,1039.235954
2,DALYs (Disability-Adjusted Life Years),168,Angola,3,Both,22,All Ages,487,Leukemia,1,Number,2016,34095.35765,45044.29448,23508.37461
2,DALYs (Disability-Adjusted Life Years),168,Angola,3,Both,22,All Ages,417,Liver cancer,1,Number,2016,25527.74127,33133.38888,19107.7252
2,DALYs (Disability-Adjusted Life Years),168,Angola,3,Both,22,All Ages,974,Diabetes and kidney diseases,1,Number,2016,324400.6165,383499.7803,273423.7009
2,DALYs (Disability-Adjusted Life Years),105,Antigua and Barbuda,3,Both,22,All Ages,487,Leukemia,1,Number,2016,143.1522867,156.2254048,131.3264048
2,DALYs (Disability-Adjusted Life Years),105,Antigua and Barbuda,3,Both,22,All Ages,471,Kidney cancer,1,Number,2016,42.90444818,51.0504273,38.48406025
2,DALYs (Disability-Adjusted Life Years),105,Antigua and Barbuda,3,Both,22,All Ages,474,Bladder cancer,1,Number,2016,38.98524051,42.02411789,35.86434627
2,DALYs (Disability-Adjusted Life Years),105,Antigua and Barbuda,3,Both,22,All Ages,480,Thyroid cancer,1,Number,2016,14.86378645,16.55459329,13.25376618
2,DALYs (Disability-Adjusted Life Years),105,Antigua and Barbuda,3,Both,22,All Ages,974,Diabetes and kidney diseases,1,Number,2016,2375.586931,2724.548506,2070.543382
2,DALYs (Disability-Adjusted Life Years),105,Antigua and Barbuda,3,Both,22,All Ages,456,Pancreatic cancer,1,Number,2016,96.31769953,104.5211959,89.01723184
2,DALYs (Disability-Adjusted Life Years),105,Antigua and Barbuda,3,Both,22,All Ages,459,Malignant skin melanoma,1,Number,2016,25.05544248,34.70221312,19.95551634
2,DALYs (Disability-Adjusted Life Years),105,Antigua and Barbuda,3,Both,22,All Ages,417,Liver cancer,1,Number,2016,120.0312449,132.0827252,108.8279283
2,DALYs (Disability-Adjusted Life Years),105,Antigua and Barbuda,3,Both,22,All Ages,429,Breast cancer,1,Number,2016,346.8285183,382.0586546,313.0501273
2,DALYs (Disability-Adjusted Life Years),105,Antigua and Barbuda,3,Both,22,All Ages,544,Parkinson's disease,1,Number,2016,70.61329717,77.65380217,64.181252
2,DALYs (Disability-Adjusted Life Years),97,Argentina,3,Both,22,All Ages,487,Leukemia,1,Number,2016,71482.12192,76041.61027,67269.94933
2,DALYs (Disability-Adjusted Life Years),97,Argentina,3,Both,22,All Ages,471,Kidney cancer,1,Number,2016,53134.12463,58526.40169,48756.40187
2,DALYs (Disability-Adjusted Life Years),97,Argentina,3,Both,22,All Ages,474,Bladder cancer,1,Number,2016,29025.49391,31376.789,26882.89947
