Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,,
EP,Pesticides,3,Albania,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,2.02,Fc,Calculated data,,
EP,Pesticides,4,Algeria,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.84,Fc,Calculated data,,
EP,Pesticides,7,Angola,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.01,Fc,Calculated data,,
EP,Pesticides,8,Antigua and Barbuda,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,5.33,Fc,Calculated data,,
EP,Pesticides,9,Argentina,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,5.17,Fc,Calculated data,,
EP,Pesticides,1,Armenia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.55,Fc,Calculated data,,
EP,Pesticides,10,Australia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.1,Fc,Calculated data,,
EP,Pesticides,11,Austria,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,2.59,Fc,Calculated data,,
EP,Pesticides,52,Azerbaijan,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.24,Fc,Calculated data,,
EP,Pesticides,12,Bahamas,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,21.3,Fc,Calculated data,,
EP,Pesticides,13,Bahrain,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.99,Fc,Calculated data,,
EP,Pesticides,16,Bangladesh,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.67,Fc,Calculated data,,
EP,Pesticides,14,Barbados,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,21.06,Fc,Calculated data,,
EP,Pesticides,255,Belgium,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,6.89,Fc,Calculated data,,
EP,Pesticides,23,Belize,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,8,Fc,Calculated data,,
EP,Pesticides,18,Bhutan,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.12,Fc,Calculated data,,
EP,Pesticides,19,Bolivia (Plurinational State of),5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,3.17,Fc,Calculated data,,
EP,Pesticides,20,Botswana,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.06,Fc,Calculated data,,
EP,Pesticides,21,Brazil,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,4.31,Fc,Calculated data,,
EP,Pesticides,26,Brunei Darussalam,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.87,Fc,Calculated data,,
EP,Pesticides,27,Bulgaria,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.03,Fc,Calculated data,,
EP,Pesticides,233,Burkina Faso,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.14,Fc,Calculated data,,
EP,Pesticides,29,Burundi,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.02,Fc,Calculated data,,
EP,Pesticides,35,Cabo Verde,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.09,Fc,Calculated data,,
EP,Pesticides,32,Cameroon,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.18,Fc,Calculated data,,
EP,Pesticides,33,Canada,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.56,Fc,Calculated data,,
EP,Pesticides,37,Central African Republic,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.01,Fc,Calculated data,,
EP,Pesticides,39,Chad,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.01,Fc,Calculated data,,
EP,Pesticides,40,Chile,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,5.69,Fc,Calculated data,,
EP,Pesticides,96,"China, Hong Kong SAR",5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,17,Fc,Calculated data,,
EP,Pesticides,41,"China, mainland",5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,13.07,Fc,Calculated data,,
EP,Pesticides,214,"China, Taiwan Province of",5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,11.71,Fc,Calculated data,,
EP,Pesticides,44,Colombia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,13.17,Fc,Calculated data,,
EP,Pesticides,45,Comoros,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0,Fc,Calculated data,,
EP,Pesticides,46,Congo,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0,Fc,Calculated data,,
EP,Pesticides,47,Cook Islands,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,2.22,Fc,Calculated data,,
EP,Pesticides,48,Costa Rica,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,22.9,Fc,Calculated data,,
EP,Pesticides,107,Côte d'Ivoire,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.01,Fc,Calculated data,,
EP,Pesticides,98,Croatia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.86,Fc,Calculated data,,
EP,Pesticides,50,Cyprus,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,5.55,Fc,Calculated data,,
EP,Pesticides,167,Czechia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.75,Fc,Calculated data,,
EP,Pesticides,54,Denmark,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.11,Fc,Calculated data,,
EP,Pesticides,56,Dominican Republic,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,5.47,Fc,Calculated data,,
EP,Pesticides,58,Ecuador,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,12.36,Fc,Calculated data,,
EP,Pesticides,59,Egypt,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,2.15,Fc,Calculated data,,
EP,Pesticides,60,El Salvador,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,5.95,Fc,Calculated data,,
EP,Pesticides,178,Eritrea,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.04,Fc,Calculated data,,
EP,Pesticides,63,Estonia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.02,Fc,Calculated data,,
EP,Pesticides,238,Ethiopia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.25,Fc,Calculated data,,
EP,Pesticides,66,Fiji,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,3.1,Fc,Calculated data,,
EP,Pesticides,67,Finland,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.7,Fc,Calculated data,,
EP,Pesticides,68,France,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,3.72,Fc,Calculated data,,
EP,Pesticides,70,French Polynesia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.01,Fc,Calculated data,,
EP,Pesticides,75,Gambia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.32,Fc,Calculated data,,
EP,Pesticides,79,Germany,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,3.92,Fc,Calculated data,,
EP,Pesticides,81,Ghana,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.05,Fc,Calculated data,,
EP,Pesticides,84,Greece,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,3.21,Fc,Calculated data,,
EP,Pesticides,89,Guatemala,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,10.02,Fc,Calculated data,,
EP,Pesticides,90,Guinea,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.11,Fc,Calculated data,,
EP,Pesticides,175,Guinea-Bissau,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.15,Fc,Calculated data,,
EP,Pesticides,91,Guyana,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.76,Fc,Calculated data,,
EP,Pesticides,93,Haiti,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.02,Fc,Calculated data,,
EP,Pesticides,95,Honduras,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,4.88,Fc,Calculated data,,
EP,Pesticides,97,Hungary,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,2.17,Fc,Calculated data,,
EP,Pesticides,99,Iceland,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.03,Fc,Calculated data,,
